team,win_rate_last10,avg_goal_diff_last10
Cape Verde,0.5,0.2
Botswana,0.5,0.3
Mali,0.5,1.0
Libya,0.4,-0.2
Guinea,0.2,-0.6
Liberia,0.3,-0.4
Ukraine,0.4,-0.1
New Caledonia,0.3,-0.6
Solomon Islands,0.5,-0.5
Tahiti,0.4,0.1
Gibraltar,0.1,-3.0
Timor-Leste,0.0,-5.5
Bhutan,0.2,-4.0
Brunei,0.3333333333333333,-2.3333333333333335
Anguilla,0.0,-4.3
Guam,0.0,-3.2
Cook Islands,0.25,-0.5
South Sudan,0.0,-1.5
Mauritius,0.125,-1.125
Mauritania,0.0,-1.4
Kosovo,0.6,0.9
Papua New Guinea,0.3,-0.4
Fiji,0.2,-0.8
Vanuatu,0.3333333333333333,-2.0
